ID_Entidad,Distrito,ID_Distrito,Circunscripcion,Porcentaje1,Porcentaje2,Porcentaje3
9,24,9_24,Circunscripción 4,0.9338539951112113,0.26678142931664056,0.3999705285786107
9,3,9_3,Circunscripción 4,0.9239237374038519,0.20909059358406312,0.40657981038697755
9,4,9_4,Circunscripción 4,0.9184670577975105,0.2945394043531183,0.3789245223182431
9,5,9_5,Circunscripción 4,0.9325476114634311,0.30034531036429135,0.3660556569078852
9,6,9_6,Circunscripción 4,0.9247858972479279,0.2655704540688566,0.37969279597064226
9,7,9_7,Circunscripción 4,0.9063223393025797,0.260413286296021,0.40863719698512935
9,8,9_8,Circunscripción 4,0.9149404319739725,0.29646842981049965,0.4485796763486258
9,9,9_9,Circunscripción 4,0.9013411927101792,0.27227341867297783,0.35964110503833313
10,1,10_1,Circunscripción 1,0.8090045047690152,0.27874770908148766,0.31006568406217755
10,2,10_2,Circunscripción 1,0.8975190631383617,0.21297964710692135,0.30160301891499947
10,3,10_3,Circunscripción 1,0.873572468110607,0.27419399990668597,0.28673914904545844
10,4,10_4,Circunscripción 1,0.9337984747687814,0.24243441174471556,0.3717499980683495
11,1,11_1,Circunscripción 2,0.8256843149304096,0.22238123841111487,0.36658149789234235
11,10,11_10,Circunscripción 2,0.8191014693437957,0.18837892544640247,0.33907415955073467
11,11,11_11,Circunscripción 2,0.9170299376513629,0.2082958007347955,0.3098572679960839
11,12,11_12,Circunscripción 2,0.9110239354141794,0.2301751141420563,0.34525636964661355
11,13,11_13,Circunscripción 2,0.802140232879109,0.17981663899919315,0.3116361798495422
11,14,11_14,Circunscripción 2,0.8335928088221666,0.19346067534321276,0.34347141136131965
11,15,11_15,Circunscripción 2,0.8820039056632116,0.19005578319661506,0.33041481576857873
11,2,11_2,Circunscripción 2,0.8473214785513034,0.28426665318912364,0.35131453734629525
11,3,11_3,Circunscripción 2,0.9334308272329203,0.22487825769712735,0.3257451520735769
11,4,11_4,Circunscripción 2,0.8666457352171638,0.1602589064884492,0.3506959706959707
11,5,11_5,Circunscripción 2,0.9036330547959562,0.24750009578177082,0.3229636122835936
11,6,11_6,Circunscripción 2,0.9190250462820757,0.20700819584430036,0.3022987456104668
11,7,11_7,Circunscripción 2,0.8342113960224732,0.21183821847610798,0.3093664340286553
11,8,11_8,Circunscripción 2,0.8749898633123991,0.17507227982771237,0.3421154591243704
11,9,11_9,Circunscripción 2,0.8691193923569903,0.16657517521401902,0.29296938048896276
12,1,12_1,Circunscripción 4,0.6977908438252274,0.34302440904273707,0.31321233037216933
12,2,12_2,Circunscripción 4,0.795940180700328,0.2302751519459566,0.3529777184984881
12,3,12_3,Circunscripción 4,0.8277291315662498,0.24864864864864866,0.32286846539000025
12,4,12_4,Circunscripción 4,0.8996006949181834,0.24580322069579183,0.41365823487143105
12,5,12_5,Circunscripción 4,0.5631799072508993,0.2066064788126053,0.32415593984310664
12,6,12_6,Circunscripción 4,0.6187538865820144,0.1926349715633169,0.38010270606407093
12,7,12_7,Circunscripción 4,0.8394452233126377,0.26116190828513297,0.37071900660925294
12,8,12_8,Circunscripción 4,0.6854327291294358,0.2402701304215149,0.332969109011999
12,9,12_9,Circunscripción 4,0.8436231175869575,0.3098246642703871,0.376802452134512
13,1,13_1,Circunscripción 5,0.670626716749653,0.15478228702970073,0.23379825097788
13,2,13_2,Circunscripción 5,0.8104288894296194,0.29950994665179564,0.3090545326736421
13,3,13_3,Circunscripción 5,0.8363852451800334,0.3391875132193743,0.31000968395105205
13,4,13_4,Circunscripción 5,0.8299217122746535,0.3765202925089464,0.32121310062486536
13,5,13_5,Circunscripción 5,0.8683504557509983,0.28414990369529447,0.2993857269152212
13,6,13_6,Circunscripción 5,0.9397758829102552,0.332920843756287,0.3406710444640465
13,7,13_7,Circunscripción 5,0.9231372197711137,0.30859111609913015,0.3267190731077318
14,1,14_1,Circunscripción 1,0.8707804813690936,0.247237389246686,0.3028912301864033
14,10,14_10,Circunscripción 1,0.949692339992571,0.26958622317043207,0.35146723945800157
14,11,14_11,Circunscripción 1,0.9210390322614666,0.33283557712499123,0.38285575675761185
14,12,14_12,Circunscripción 1,0.9542428694941439,0.2897501404014932,0.3140115562148908
14,13,14_13,Circunscripción 1,0.9518600300032026,0.2729500912787721,0.33260572757766277
14,14,14_14,Circunscripción 1,0.9250578943015466,0.26704593329517423,0.3820920519394591
14,15,14_15,Circunscripción 1,0.878656233135456,0.3209867481774897,0.3250314804821011
14,16,14_16,Circunscripción 1,0.919296537674536,0.30971585898345916,0.34634071590181814
14,17,14_17,Circunscripción 1,0.8978976635286083,0.34829475501926693,0.3291351641383347
14,18,14_18,Circunscripción 1,0.84753149790014,0.21331516260916547,0.316313579094727
14,19,14_19,Circunscripción 1,0.8713500419267679,0.24423839788701276,0.3372682381440417
14,2,14_2,Circunscripción 1,0.8974748607909927,0.29081937639435956,0.3525098415158994
14,20,14_20,Circunscripción 1,0.9274366035981259,0.35732826207725576,0.3200329053256554
14,3,14_3,Circunscripción 1,0.9044896600507636,0.35172949413455745,0.3103815586901344
14,4,14_4,Circunscripción 1,0.89171974522293,0.2917566525507315,0.36554889471712254
14,5,14_5,Circunscripción 1,0.9216616534100376,0.2420304210509939,0.33123448886706247
14,6,14_6,Circunscripción 1,0.9372112308968131,0.2697196303657044,0.33962537350761496
14,7,14_7,Circunscripción 1,0.9363852498312282,0.35823074253281884,0.3357434276824937
14,8,14_8,Circunscripción 1,0.9279944018282636,0.2538175623803164,0.41211224688645987
14,9,14_9,Circunscripción 1,0.9275206506003577,0.32559187827620323,0.3735736183258111
15,1,15_1,Circunscripción 5,0.8029239400940157,0.28874924365245425,0.2930184017340267
15,10,15_10,Circunscripción 5,0.9022628839353121,0.3518393170044707,0.322754003258235
15,11,15_11,Circunscripción 5,0.8958665401953786,0.34600367014009586,0.3345980462141733
15,12,15_12,Circunscripción 5,0.9181020113345927,0.3459079267849125,0.3383431492388043
15,13,15_13,Circunscripción 5,0.8998236636844553,0.3474454591430415,0.3568051754167703
15,14,15_14,Circunscripción 5,0.930149780993247,0.2810635816627061,0.3459503822582228
15,15,15_15,Circunscripción 5,0.919786617515441,0.29206256247665013,0.33201003110351
15,16,15_16,Circunscripción 5,0.8756162162671669,0.3641820977338057,0.34065095059901407
15,17,15_17,Circunscripción 5,0.8884419067393373,0.3708004348833479,0.3449260316636387
15,18,15_18,Circunscripción 5,0.9016016492229623,0.36151789125175093,0.2977719632096416
15,19,15_19,Circunscripción 5,0.9083463374546394,0.24447493601830966,0.3703081284222384
15,2,15_2,Circunscripción 5,0.9115987776621108,0.30822686770787444,0.3048121159206152
15,20,15_20,Circunscripción 5,0.9032174827812072,0.3409447759185321,0.3673805601317957
15,21,15_21,Circunscripción 5,0.86996336996337,0.3447888479936391,0.30165034241121197
15,22,15_22,Circunscripción 5,0.9213964802738445,0.31475059707058983,0.34100615674746243
15,23,15_23,Circunscripción 5,0.8557395658821052,0.33203263960546114,0.267657209817546
15,24,15_24,Circunscripción 5,0.8982962386327448,0.2998241728473715,0.3506510739181204
15,25,15_25,Circunscripción 5,0.8595112465946263,0.4308042139197513,0.3330430115149735
15,26,15_26,Circunscripción 5,0.8826079074443364,0.35812986666054475,0.28247111755689963
15,27,15_27,Circunscripción 5,0.9163244311600366,0.29105925582513437,0.2899484014159235
15,28,15_28,Circunscripción 5,0.9089901041163008,0.3548245871618411,0.2904296812042678
15,29,15_29,Circunscripción 5,0.8911246668887408,0.34614946034859256,0.38173509327115257
15,3,15_3,Circunscripción 5,0.8103099580367246,0.33178666077738517,0.3040867419214013
15,30,15_30,Circunscripción 5,0.8890641522735284,0.40578079026489927,0.3435847726471625
15,31,15_31,Circunscripción 5,0.8813933483267176,0.3688252858164644,0.36734482365500015
15,32,15_32,Circunscripción 5,0.8815819728673259,0.4291186565334641,0.3232735494749751
15,33,15_33,Circunscripción 5,0.8881783136409578,0.3898168927581448,0.310125846354749
15,34,15_34,Circunscripción 5,0.91550625643294,0.3012071304917419,0.33054040949650815
15,35,15_35,Circunscripción 5,0.8155996393146979,0.3191520904708627,0.29795987376014427
15,36,15_36,Circunscripción 5,0.7971907881675601,0.22104572281218113,0.2936370855668056
15,37,15_37,Circunscripción 5,0.908176505934912,0.3118881314065215,0.30057738027850106
15,38,15_38,Circunscripción 5,0.8983651909133951,0.3469275582753482,0.3186067453281222
15,39,15_39,Circunscripción 5,0.8776072747939756,0.4031453120444528,0.3373212086767074
15,4,15_4,Circunscripción 5,0.8963363863447127,0.32825071725298893,0.32211252527655526
15,40,15_40,Circunscripción 5,0.8193181515751,0.3826017507540012,0.25751621230804717
15,41,15_41,Circunscripción 5,0.9384420960090845,0.3278021002918702,0.3151889228740453
15,5,15_5,Circunscripción 5,0.8881491226510694,0.3345357132759709,0.29769418122988855
15,6,15_6,Circunscripción 5,0.9228733066901956,0.295822929127271,0.342874690749295
15,7,15_7,Circunscripción 5,0.931047425225616,0.2707097710384589,0.333169299547934
15,8,15_8,Circunscripción 5,0.9061547527126428,0.30844657801279396,0.3199902466777746
15,9,15_9,Circunscripción 5,0.7401212607105276,0.2912041953280531,0.27202485343488503
16,1,16_1,Circunscripción 5,0.9025493982483859,0.26898169311478265,0.3167534671426064
16,10,16_10,Circunscripción 5,0.9381063983217517,0.315373725254949,0.3724924609938377
16,11,16_11,Circunscripción 5,0.8548323051146214,0.39072370352933183,0.2802630432045558
16,12,16_12,Circunscripción 5,0.8657700011415881,0.44082190186717796,0.29901304523802114
16,2,16_2,Circunscripción 5,0.8679085815856198,0.3763458513870746,0.2996540877763159
16,3,16_3,Circunscripción 5,0.8210344437473646,0.40133460958442757,0.29436085199164874
16,4,16_4,Circunscripción 5,0.8426418560657736,0.4193940634800152,0.33528871426882395
16,5,16_5,Circunscripción 5,0.8660347998302448,0.365171158481545,0.3352401329749611
16,6,16_6,Circunscripción 5,0.8413537966361156,0.44372607593789876,0.3134751633858654
16,7,16_7,Circunscripción 5,0.8165460224828386,0.38243525333862255,0.2821296971737463
16,8,16_8,Circunscripción 5,0.9353032862470521,0.3291424351518508,0.3519148693090476
16,9,16_9,Circunscripción 5,0.9225738531232055,0.3829550486846457,0.34316978242838003
17,1,17_1,Circunscripción 4,0.9245102513691897,0.2872609569164372,0.38485641061648646
17,2,17_2,Circunscripción 4,0.9155471771245343,0.2864834456373199,0.3608382737691488
17,3,17_3,Circunscripción 4,0.8846805950557864,0.2825911690735032,0.3449555166630205
17,4,17_4,Circunscripción 4,0.8589420201073835,0.24676001921510904,0.34709560015855284
17,5,17_5,Circunscripción 4,0.8721401525251986,0.2964112625737587,0.3048459637708211
18,1,18_1,Circunscripción 1,0.78977460570584,0.17933141755483611,0.2982439081309193
18,2,18_2,Circunscripción 1,0.9312943962115233,0.21284856134445926,0.3628887134964483
18,3,18_3,Circunscripción 1,0.9070433013482327,0.2618275020377885,0.3203419166767885
19,1,19_1,Circunscripción 2,0.9226340172071475,0.1614823248135709,0.27345301125082727
19,10,19_10,Circunscripción 2,0.9011084474218365,0.18030845225859077,0.3333194116123859
19,11,19_11,Circunscripción 2,0.9143066848411481,0.1934004449873484,0.3033676805612483
19,12,19_12,Circunscripción 2,0.9475565802337628,0.2173055055267154,0.2495512979527513
