"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
2,2,2,2,-5.38801799198544,-5.27825574267867,0.597295264706034,0.681601800302107,0.63944853250407
4,4,0,1,-5.29144268287672,-5.17070420863928,0.887940239942545,0.387080574928902,0.637510407435723
4,3,2,2,-5.37621701820257,-5.23352609410378,0.494359068846729,0.780215770203836,0.637287419525282
2,2,0,2,-5.30570069510355,-5.21789089565814,0.871885900344138,0.398995123485368,0.635440511914753
2,2,0,1,-5.31152765422827,-5.23469407971353,0.871813981636332,0.396484927449945,0.634149454543138
4,4,0,2,-5.28351080635936,-5.15179610719125,0.87422591431632,0.38376776258804,0.62899683845218
2,4,0,1,-5.30041589566481,-5.20162987128872,0.85357116321719,0.402051049350121,0.627811106283656
2,3,0,1,-5.30607614814066,-5.21826634869525,0.855407624995143,0.396301530057255,0.625854577526199
3,3,1,0,-5.30002419156741,-5.20123816719132,0.840144321803268,0.396107813301053,0.618126067552161
2,3,1,0,-5.30582038040419,-5.21801058095878,0.850503892388894,0.385147353616949,0.617825623002922
2,3,0,2,-5.30034272881199,-5.2015567044359,0.852115475567554,0.367890802185501,0.610003138876528
4,2,0,1,-5.28345070663389,-5.1846646822578,0.864741213465617,0.245393504236905,0.555067358851261
2,2,2,0,30.8650235487873,30.9528333482327,0.0139068429765553,0.998704846102265,0.50630584453941
3,2,1,0,-1.37449711236005,-1.28668731291464,0,0.99999999999569,0.499999999997845
4,3,1,0,16.7568520760404,16.8666143253471,0,0.99999999999407,0.499999999997035
4,4,1,0,-1.09810059419272,-0.977362119955277,0,0.99999999611137,0.499999998055685
2,1,1,0,-1.05915918883853,-0.993301839254473,0,0.999999892182683,0.499999946091342
3,4,0,2,-5.27280241288993,-5.15206393865249,0.753269225862321,0.226939630249625,0.490104428055973
4,1,1,0,-5.27757475643749,-5.18976495699208,0.724662718183587,0.205207312759555,0.464935015471571
4,2,1,0,-5.27206730412832,-5.17328127975223,0.72501946344262,0.197814117961963,0.461416790702291
4,2,0,2,-5.26636166029,-5.15659941098323,0.72785178789341,0.190799549464573,0.459325668678992
1,4,0,1,-5.27728864653806,-5.18947884709265,0.711691777730529,0.204906637220458,0.458299207475493
1,4,0,2,-5.27163214459528,-5.17284612021919,0.703696629936942,0.207383110630213,0.455539870283577
4,1,0,2,-5.27127363977538,-5.17248761539929,0.70427648132282,0.203655817358871,0.453966149340845
2,4,1,1,-5.40401377826686,-5.29425152896009,0.0480094498554877,0.857389600024535,0.452699524940012
0,4,0,2,-5.27694112902541,-5.18913132958,0.699689712351419,0.203399044258185,0.451544378304802
0,3,0,1,-5.28593595304176,-5.2200786034577,0.662027422410771,0.238970605655975,0.450499014033373
1,3,0,1,-5.2815282094061,-5.20469463489136,0.680504937212804,0.216389523128772,0.448447230170788
0,3,1,0,-5.28584325863447,-5.21998590905041,0.658996185339132,0.233876270872734,0.446436228105933
0,4,1,0,-5.28235977583637,-5.20552620132164,0.69511299061528,0.196352897982211,0.445732944298745
3,0,0,1,-5.28611008748132,-5.22025273789727,0.668479253140655,0.220229794451082,0.444354523795869
4,0,0,1,-5.2821897036643,-5.20535612914956,0.689861026150819,0.197476731771055,0.443668878960937
0,4,0,1,-5.28243845155585,-5.20560487704112,0.693994632306812,0.192500307609502,0.443247469958157
3,2,0,2,-5.27020083409748,-5.17141480972139,0.681626211934453,0.203653457113928,0.442639834524191
2,3,1,2,-5.40156425493966,-5.2918020056329,0.0262980595882568,0.85500344370452,0.440650751646388
3,0,0,2,-5.28065179135726,-5.20381821684253,0.666902321215567,0.213546151302062,0.440224236258815
0,3,0,2,-5.28043329611247,-5.20359972159773,0.656871287345488,0.221704379402351,0.439287833373919
1,3,0,2,-5.27584468333548,-5.18803488389007,0.674439192668367,0.199966113278526,0.437202652973446
3,1,1,0,-5.28124667089194,-5.20441309637721,0.676228921496571,0.19795913164518,0.437094026570875
4,0,0,2,-5.27640880033788,-5.18859900089246,0.683761963792927,0.184808089209082,0.434285026501004
3,1,0,1,-5.28118199508136,-5.20434842056662,0.671619503548732,0.19662244108758,0.434120972318156
3,1,0,2,-5.27571654894219,-5.18790674949678,0.675477494287017,0.191396556356136,0.433437025321576
1,2,0,1,-5.28413609462607,-5.21827874504202,0.606630668835388,0.258012928196157,0.432321798515772
1,2,0,2,-5.27845427649747,-5.20162070198273,0.606624770503656,0.258015254275905,0.43232001238978
1,3,1,0,-5.27893401685667,-5.20210044234193,0.62095354464079,0.230199477180998,0.425576510910894
0,2,0,1,-5.28927182267712,-5.23439069802374,0.602228316103142,0.245739608924728,0.423983962513935
2,0,0,1,-5.28871863544443,-5.23383751079105,0.605708488289694,0.236949076072846,0.42132878218127
2,1,0,2,-5.27771679506454,-5.2008832205498,0.602457048366786,0.237998791139637,0.420227919753212
0,2,0,2,-5.28327380336094,-5.21741645377688,0.595637095984914,0.240811168183528,0.418224132084221
2,1,0,1,-5.28339653440092,-5.21753918481686,0.598501569486275,0.23745352782057,0.417977548653423
1,1,0,2,-5.28308600690259,-5.21722865731853,0.61997729353465,0.215381726228052,0.417679509881351
