"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
4,3,1,1,-5.31282984849645,-5.19209137425901,0.936460974685876,0.254529817372474,0.595495396029175
1,4,2,0,-5.17403442371398,-5.0752483993379,0.222971093980862,0.958942872888299,0.59095698343458
0,4,2,1,-5.28623975915742,-5.18745373478134,0.82943886619246,0.326109804292799,0.577774335242629
0,4,1,1,-5.29192160649099,-5.20411180704558,0.829470144418103,0.325788188568024,0.577629166493064
0,4,2,2,-5.28313094363862,-5.17336869433186,0.788132885992211,0.365833000538564,0.576982943265387
0,4,1,2,-5.28881276713027,-5.19002674275418,0.788195849050507,0.365694750865043,0.576945299957775
2,1,2,1,-5.29250717051444,-5.20469737106903,0.804637522599339,0.347237054683642,0.57593728864149
3,4,1,1,-5.31322839842,-5.19248992418256,0.893756585057479,0.251863613074805,0.572810099066142
4,0,1,1,-5.29142129052448,-5.20361149107907,0.837595530001267,0.264554423870185,0.551074976935726
4,0,2,1,-5.28573947168404,-5.18695344730795,0.837595401908165,0.264553693426723,0.551074547667444
4,3,1,0,-5.25726868442916,-5.14750643512239,0.978398377249811,0.119776392280076,0.549087384764944
4,0,1,2,-5.28832413820698,-5.18953811383089,0.798464800911122,0.297134946610248,0.547799873760685
4,0,2,2,-5.28264232121001,-5.17288007190324,0.798435730687074,0.296693976221914,0.547564853454494
1,2,1,1,-5.2970818304778,-5.22024825596306,0.737302058144607,0.349223803968374,0.543262931056491
4,3,2,0,-5.25637450632066,-5.13563603208322,0.943527647041783,0.130496844940816,0.5370122459913
3,2,2,0,-5.25996266272416,-5.16117663834807,0.989391221094758,0.0707908319221002,0.530091026508429
2,4,1,1,-5.28471727758041,-5.17495502827364,0.813694518784273,0.234918816399233,0.524306667591753
1,3,1,0,6.57072122817824,6.64755480269298,0.00259320897107185,0.999944689429806,0.501268949200439
0,2,1,0,-0.749953624841341,-0.695072500187959,0,0.999999999983431,0.499999999991716
3,2,1,0,0.342001026777812,0.429810826223224,8.51415604685712e-11,0.99999999473366,0.499999997409401
4,4,0,1,-5.13259958728164,-5.0118611130442,0.999985570975698,8.05022715155701e-13,0.499992785488252
3,3,1,0,-4.37199474292689,-4.2732087185508,0,0.999122155946397,0.499561077973198
4,3,0,1,-5.13080321495615,-5.02104096564938,0.997297718613207,5.86197757002083e-14,0.498648859306633
4,3,0,2,-5.12422634046274,-5.0034878662253,0.994636625104773,5.80646641878957e-14,0.497318312552415
2,4,0,1,-5.13568301155428,-5.03689698717819,0.992089382044159,1.63981606071673e-10,0.49604469110407
4,2,0,2,-5.12794722727841,-5.01818497797165,0.99109231571883,7.14206471741363e-13,0.495546157859772
3,4,0,2,-5.12185099472505,-5.00111252048761,0.990156773382699,1.9373391779709e-13,0.495078386691446
1,4,0,1,-5.1330278030697,-5.04521800362429,0.990110646924281,4.04121180963557e-14,0.495055323462161
4,1,0,2,-5.13310937567791,-5.03432335130182,0.989541259037569,1.20159437955181e-12,0.494770629519385
1,4,0,2,-5.13296139906858,-5.03417537469249,0.988702587310505,1.28896893158981e-13,0.494351293655317
3,4,0,1,-5.12642889233835,-5.01666664303159,0.987351821158143,1.433519969396e-12,0.493675910579788
3,2,0,2,-5.13157779344324,-5.03279176906715,0.986264422823292,1.72528658026749e-12,0.493132211412508
3,3,0,2,-5.12613269356809,-5.01637044426133,0.985790486197557,1.40698563910746e-12,0.492895243099482
3,3,0,1,-5.13183672944701,-5.03305070507092,0.985711187047993,1.14619425062301e-12,0.492855593524569
2,3,0,2,-5.13177307356018,-5.03298704918409,0.984769534524852,5.88085136143945e-13,0.49238476726272
2,3,0,1,-5.13745489174185,-5.04964509229644,0.984769528998582,5.88085136143945e-13,0.492384764499585
4,1,0,1,-5.13754336723671,-5.0497335677913,0.984179819446868,2.11908268710204e-12,0.492089909724494
3,1,0,2,-5.13459648706755,-5.04678668762214,0.962293062518512,4.88276086230144e-13,0.4811465312595
3,1,0,1,-5.14049216730902,-5.06365859279429,0.962258270921224,5.04485342389671e-13,0.481129135460864
3,2,0,1,14.7062068331221,14.7940166325675,0.953050535977753,1.05530039151702e-08,0.476525273265379
1,3,0,2,-5.13346384487247,-5.04565404542706,0.951323137476253,5.5211391014609e-13,0.475661568738402
3,3,2,0,-5.15294204620016,-5.04317979689339,0.23393358738492,0.712439688913617,0.473186638149268
0,4,0,1,-5.13938473613941,-5.06255116162467,0.944464601857857,1.4521717162097e-13,0.472232300929001
0,4,0,2,-5.13352299139415,-5.04571319194874,0.944442674749597,1.41553435639707e-13,0.472221337374869
2,1,1,0,-2.25672126982476,-2.19086392024071,2.02654341900921e-05,0.93909842472978,0.469559345081985
4,0,0,2,-5.13209927853135,-5.04428947908594,0.930520034723462,3.75266484553549e-12,0.465260017363607
3,0,2,2,-5.28676614848013,-5.18798012410404,0.672160023627387,0.249279603988218,0.460719813807802
3,0,1,2,-5.29244796964219,-5.20463817019678,0.672149770474232,0.249277491679342,0.460713631076787
3,0,2,1,-5.28931930722791,-5.20150950778249,0.712361255412344,0.20773259731798,0.460046926365162
3,0,1,1,-5.29500113485606,-5.21816756034133,0.712349574932418,0.207710685113473,0.460030130022945
4,0,0,1,-5.09935647085221,-5.02252289633747,0.916207449478623,1.87627691161651e-14,0.458103724739321
2,4,0,2,-5.13383854507597,-5.0240762957692,0.912852336472016,1.51527819847175e-07,0.456426243999918
2,2,2,1,-5.2873534046667,-5.18856738029062,0.645885339970819,0.264477639922123,0.455181489946471
2,2,1,1,-5.29303527102441,-5.205225471579,0.645834682220049,0.263801108475907,0.454817895347978
1,2,2,1,-5.2882530700681,-5.20044327062269,0.732619163236175,0.17201555861857,0.452317360927372
0,2,1,1,-5.29955239930509,-5.23369504972103,0.731578029499774,0.172296095608711,0.451937062554242
