"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
0,0,2,0,-5.26029802554087,-5.21639312581816,0.229469803488145,0.00830110472510437,0.118885454106625
2,2,2,0,-5.23883627451852,-5.1510264750731,0.219451232299827,0.0133683969857947,0.116409814642811
0,0,1,0,-5.2663604557428,-5.23343178095078,0.222988945546669,0.00976754071566133,0.116378243131165
0,3,2,0,-5.25157298229627,-5.17473940778154,0.139875685193544,0.0914849553388185,0.115680320266181
3,0,1,0,-5.25533362102411,-5.18947627144006,0.174165287162582,0.0564389356187132,0.115302111390647
3,0,2,0,-5.25107736072702,-5.17424378621228,0.162217695900208,0.0660070402118084,0.114112368056008
4,0,2,0,-5.24469381704159,-5.15688401759617,0.148001793778549,0.0664495159329986,0.107225654855774
4,0,1,0,-5.24910149894853,-5.1722679244338,0.145944500196713,0.060658160733469,0.103301330465091
1,2,2,0,-5.253819264715,-5.17698569020026,0.174131473987136,0.0204727141222391,0.0973020940546873
2,1,2,0,-5.25371473014584,-5.1768811556311,0.173363658702715,0.0203262102643775,0.0968449344835463
1,0,2,0,-5.2551472607264,-5.20026613607302,0.164331917203832,0.0144485993288737,0.0893902582663527
4,4,2,0,-5.24396606581396,-5.11225136664585,0.165211405990759,0.0125764312544141,0.0888939186225866
2,0,1,0,-5.25438331368034,-5.19950218902696,0.161239368282525,0.0160765863209684,0.0886579773017468
0,1,2,0,-5.25516283711594,-5.20028171246256,0.160853650300836,0.0149710522840446,0.0879123512924402
1,1,1,0,-5.26523752835859,-5.21035640370521,0.137730428030927,0.0315622113915334,0.0846463197112304
1,1,2,0,-5.25910809546606,-5.193250745882,0.133869246628166,0.0282018574511066,0.0810355520396362
0,2,2,0,-5.24962054914115,-5.18376319955709,0.136306274604282,0.0201604896791499,0.078233382141716
3,1,1,0,-5.25147181678916,-5.17463824227443,0.124788886274304,0.0296268847723736,0.077207885523339
4,2,2,0,-5.21420035884744,-5.10443810954068,2.77703898696746e-05,0.116732874844164,0.0583803226170167
0,4,1,0,-2.3465398733963,-2.26970629888156,2.34956498701422e-12,0.00282931481571891,0.00141465740903424
1,3,0,1,22.8673035252594,22.9441370997741,0.00138918682957834,0,0.000694593414789169
4,2,1,0,-4.84614803107794,-4.74736200670185,8.42482861251881e-10,1.555879580728e-08,8.20063933426596e-09
